date,dealer name,company,model,engine,transmission,color,body style,dealer region
02-01-2022,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,Double Overhead Camshaft,Auto,Black,SUV,Middletown
02-01-2022,C & M Motors Inc,Dodge,Durango,Double Overhead Camshaft,Auto,Black,SUV,Aurora
02-01-2022,Capitol KIA,Cadillac,Eldorado,Overhead Camshaft,Manual,Red,Passenger,Greenville
02-01-2022,Chrysler of Tri-Cities,Toyota,Celica,Overhead Camshaft,Manual,Pale White,SUV,Pasco
02-01-2022,Chrysler Plymouth,Acura,TL,Double Overhead Camshaft,Auto,Red,Hatchback,Janesville
02-01-2022,Classic Chevy,Mitsubishi,Diamante,Overhead Camshaft,Manual,Pale White,Hatchback,Scottsdale
02-01-2022,Clay Johnson Auto Sales,Toyota,Corolla,Overhead Camshaft,Manual,Pale White,Passenger,Austin
02-01-2022,U-Haul CO,Mitsubishi,Galant,Double Overhead Camshaft,Auto,Pale White,Passenger,Austin
02-01-2022,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,Pasco
02-01-2022,Rabun Used Car Sales,Ford,Escort,Double Overhead Camshaft,Auto,Pale White,Passenger,Scottsdale
02-01-2022,Race Car Help,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV,Austin
02-01-2022,Race Car Help,Nissan,Pathfinder,Double Overhead Camshaft,Auto,Pale White,Hardtop,Pasco
02-01-2022,Saab-Belle Dodge,Mercury,Grand Marquis,Double Overhead Camshaft,Auto,Black,SUV,Aurora
02-01-2022,Scrivener Performance Engineering,BMW,323i,Double Overhead Camshaft,Auto,Pale White,Hatchback,Greenville
02-01-2022,Buddy Storbeck's Diesel Service Inc,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan,Middletown
02-01-2022,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,Hatchback,Aurora
02-01-2022,Capitol KIA,Hyundai,Accent,Overhead Camshaft,Manual,Black,Hatchback,Greenville
02-01-2022,Chrysler of Tri-Cities,Cadillac,Eldorado,Double Overhead Camshaft,Auto,Pale White,Passenger,Pasco
02-01-2022,Chrysler Plymouth,Toyota,Land Cruiser,Double Overhead Camshaft,Auto,Pale White,SUV,Janesville
02-01-2022,Classic Chevy,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,Sedan,Scottsdale
02-01-2022,Clay Johnson Auto Sales,Toyota,4Runner,Overhead Camshaft,Manual,Black,Sedan,Austin
02-01-2022,Classic Chevy,Infiniti,I30,Double Overhead Camshaft,Auto,Black,Hardtop,Austin
02-01-2022,Diehl Motor CO Inc,Audi,A4,Overhead Camshaft,Manual,Pale White,Hardtop,Middletown
02-01-2022,Star Enterprises Inc,Porsche,Carrera Cabrio,Double Overhead Camshaft,Auto,Pale White,Passenger,Pasco
02-01-2022,Suburban Ford,Volkswagen,Jetta,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
02-01-2022,Tri-State Mack Inc,Dodge,Viper,Double Overhead Camshaft,Auto,Pale White,SUV,Scottsdale
02-01-2022,U-Haul CO,Buick,Regal,Double Overhead Camshaft,Auto,Black,Passenger,Austin
02-01-2022,Progressive Shippers Cooperative Association No,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,Hatchback,Janesville
02-01-2022,Race Car Help,Chrysler,LHS,Overhead Camshaft,Manual,Pale White,Hatchback,Janesville
02-01-2022,Ryder Truck Rental and Leasing,Saturn,LW,Overhead Camshaft,Manual,Pale White,Hatchback,Scottsdale
02-01-2022,Saab-Belle Dodge,Mitsubishi,3000GT,Overhead Camshaft,Manual,Pale White,Sedan,Austin
02-01-2022,Scrivener Performance Engineering,Mercedes-B,SLK230,Overhead Camshaft,Manual,Pale White,Hatchback,Middletown
02-01-2022,Star Enterprises Inc,Honda,Accord,Double Overhead Camshaft,Auto,Pale White,Sedan,Aurora
02-01-2022,Tri-State Mack Inc,Honda,Civic,Overhead Camshaft,Manual,Black,Hatchback,Greenville
02-01-2022,U-Haul CO,Jaguar,S-Type,Double Overhead Camshaft,Auto,Black,Passenger,Pasco
03-01-2022,Diehl Motor CO Inc,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,Sedan,Middletown
03-01-2022,Enterprise Rent A Car,Mercury,Mountaineer,Double Overhead Camshaft,Auto,Pale White,SUV,Aurora
03-01-2022,Gartner Buick Hyundai Saab,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,Hatchback,Greenville
03-01-2022,Hatfield Volkswagen,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Pale White,SUV,Pasco
03-01-2022,Star Enterprises Inc,Nissan,Sentra,Double Overhead Camshaft,Auto,Black,Passenger,Pasco
03-01-2022,Suburban Ford,Chrysler,Sebring Coupe,Overhead Camshaft,Manual,Pale White,Sedan,Janesville
03-01-2022,Tri-State Mack Inc,Volvo,S80,Overhead Camshaft,Manual,Pale White,Sedan,Scottsdale
03-01-2022,U-Haul CO,Chevrolet,Lumina,Overhead Camshaft,Manual,Black,Passenger,Austin
03-01-2022,Diehl Motor CO Inc,Mitsubishi,Montero Sport,Double Overhead Camshaft,Auto,Black,Hatchback,Middletown
03-01-2022,Enterprise Rent A Car,Pontiac,Bonneville,Overhead Camshaft,Manual,Black,Hatchback,Aurora
03-01-2022,Gartner Buick Hyundai Saab,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,Greenville
03-01-2022,Hatfield Volkswagen,BMW,323i,Overhead Camshaft,Manual,Pale White,Hatchback,Pasco
03-01-2022,Rabun Used Car Sales,Acura,TL,Double Overhead Camshaft,Auto,Pale White,Hatchback,Scottsdale
03-01-2022,Race Car Help,Nissan,Altima,Double Overhead Camshaft,Auto,Pale White,Hatchback,Austin
03-01-2022,Ryder Truck Rental and Leasing,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,SUV,Middletown
03-01-2022,Saab-Belle Dodge,Dodge,Stratus,Double Overhead Camshaft,Auto,Pale White,Hatchback,Aurora
03-01-2022,Progressive Shippers Cooperative Association No,Audi,A4,Double Overhead Camshaft,Auto,Black,Hardtop,Austin
03-01-2022,C & M Motors Inc,Mercury,Cougar,Double Overhead Camshaft,Auto,Black,Hatchback,Scottsdale
03-01-2022,Scrivener Performance Engineering,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,Hardtop,Middletown
03-01-2022,Chrysler of Tri-Cities,Acura,RL,Overhead Camshaft,Manual,Pale White,SUV,Middletown
04-01-2022,Iceberg Rentals,Saturn,SW,Double Overhead Camshaft,Auto,Pale White,Passenger,Janesville
04-01-2022,McKinney Dodge Chrysler Jeep,Volvo,C70,Overhead Camshaft,Manual,Black,Hatchback,Scottsdale
04-01-2022,Motor Vehicle Branch Office,Mercury,Mountaineer,Overhead Camshaft,Manual,Pale White,SUV,Austin
04-01-2022,Buddy Storbeck's Diesel Service Inc,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,Middletown
04-01-2022,C & M Motors Inc,Mercedes-B,SLK,Overhead Camshaft,Manual,Pale White,Passenger,Aurora
04-01-2022,Ryder Truck Rental and Leasing,Toyota,Tacoma,Overhead Camshaft,Manual,Black,Hardtop,Janesville
04-01-2022,Iceberg Rentals,Mercedes-B,C-Class,Overhead Camshaft,Manual,Pale White,Hatchback,Janesville
04-01-2022,McKinney Dodge Chrysler Jeep,Mercedes-B,M-Class,Overhead Camshaft,Manual,Pale White,Hatchback,Austin
04-01-2022,Nebo Chevrolet,Audi,A6,Double Overhead Camshaft,Auto,Black,SUV,Middletown
04-01-2022,Scrivener Performance Engineering,Dodge,Intrepid,Double Overhead Camshaft,Auto,Pale White,Sedan,Greenville
04-01-2022,Star Enterprises Inc,Buick,Park Avenue,Double Overhead Camshaft,Auto,Black,Hatchback,Pasco
04-01-2022,Suburban Ford,Dodge,Viper,Overhead Camshaft,Manual,Black,SUV,Janesville
04-01-2022,Chrysler Plymouth,Toyota,Sienna,Overhead Camshaft,Manual,Black,Passenger,Aurora
04-01-2022,Classic Chevy,Volvo,S40,Double Overhead Camshaft,Auto,Pale White,Sedan,Greenville
04-01-2022,Clay Johnson Auto Sales,Mitsubishi,Diamante,Double Overhead Camshaft,Auto,Pale White,Hatchback,Pasco
05-01-2022,Nebo Chevrolet,Cadillac,DeVille,Double Overhead Camshaft,Auto,Pale White,SUV,Middletown
05-01-2022,New Castle Ford Lincoln Mercury,Jaguar,S-Type,Overhead Camshaft,Manual,Pale White,Passenger,Aurora
05-01-2022,Pars Auto Sales,Mitsubishi,Eclipse,Overhead Camshaft,Manual,Black,SUV,Greenville
